Mode,StopTime_s,MaxPitch_deg,MaxPitchRate_deg_s
Conventional,7.4,4.99999999936449,12.5
RTSC,7.8,4.99999998469881,4.65682615240872
HPRC_v6,7.84,4.99999515415349,4.62056304863758
HPRC_v7,7.81,2.29997399954261,1.93115728772782
HPRC_v8,7.81,2.15302646116383,1.90510137332004
